standard_event	dataset_label	standard_action	standard_activity	dataset
road_vehicle	Car horn	vehicle_horn		Singapura
road_vehicle	car_horn	vehicle_horn		UrbanSound8K
road_vehicle	Car horn	car_horn		Singapura
road_vehicle	car_horn	car_horn		UrbanSound8K
road_vehicle	car passing by	vehicle_passing_by		TUTSoundEvents2016
road_vehicle	car passing by	car_passing_by		TUTSoundEvents2016
road_vehicle	Car passing by	vehicle_passing_by		AudioSet
road_vehicle	Car passing by	car_passing_by		AudioSet
road_vehicle	Car passing by	vehicle_passing_by		AudioSet_strong
road_vehicle	Car passing by	car_passing_by		AudioSet_strong
road_vehicle	car passing by	car_passing_by		VGGSound
road_vehicle	car passing by	vehicle_passing_by		VGGSound
road_vehicle	car_horn	vehicle_horn		ESC50
road_vehicle	car_horn	vehicle_horn		MAESTROsynthetic
road_vehicle	car_horn	car_horn		ESC50
road_vehicle	car_horn	car_horn		MAESTROsynthetic
road_vehicle	Car_passing_by	vehicle_passing_by		Fsd50k
road_vehicle	Car_passing_by	vehicle_passing_by		AudioSet_strong
road_vehicle	Car_passing_by	car_passing_by		Fsd50k
road_vehicle	Car_passing_by	car_passing_by		AudioSet_strong
road_vehicle	car-alarm	car_alarm_ringing		SONYC
road_vehicle	car-horn	vehicle_horn		SONYC
road_vehicle	car-horn	car_horn		SONYC
road_vehicle	car/brakes	car_brake		MAVDtraffic
road_vehicle	car/brakes	brakes_squeaking		MAVDtraffic
road_vehicle	car/engine_accelerating	engine_accelerating		MAVDtraffic
road_vehicle	car/engine_idling			MAVDtraffic
road_vehicle	car engine idling			VGGSound
road_vehicle	car/wheel_rolling	wheel_rolling		MAVDtraffic
road_vehicle	car/wheel_rolling	vehicle_passing_by		MAVDtraffic
road_vehicle	Emergency vehicle			AudioSet_strong
road_vehicle	Emergency vehicle			AudioSet
road_vehicle	Engine			Singapura
road_vehicle	engine			ESC50
road_vehicle	engine_idling			UrbanSound8K
road_vehicle	engine_idling			MAESTROsynthetic
road_vehicle	engine-of-uncertain-size			SONYC
road_vehicle	Exhaust brake	exhaust_brake		Singapura
road_vehicle	Exhaust brake	brakes_squeaking		Singapura
road_vehicle	Fire engine, fire truck (siren)	siren_ringing		AudioSet_strong
road_vehicle	Fire engine, fire truck (siren)	siren_ringing		AudioSet
road_vehicle	Fire engine, fire truck (siren)	vehicle_siren_ringing		AudioSet_strong
road_vehicle	Fire engine, fire truck (siren)	vehicle_siren_ringing		AudioSet
road_vehicle	Fire engine, fire truck (siren)	fire_truck_siren_ringing		AudioSet_strong
road_vehicle	Fire engine, fire truck (siren)	fire_truck_siren_ringing		AudioSet
road_vehicle	fire truck siren	siren_ringing		VGGSound
road_vehicle	fire truck siren	vehicle_siren_ringing		VGGSound
road_vehicle	fire truck siren	fire_truck_siren_ringing		VGGSound
road_vehicle	Friction brake	friction_brake		Singapura
road_vehicle	Friction brake	brakes_squeaking		Singapura
road_vehicle	Ice cream truck, ice cream van			AudioSet_strong
road_vehicle	Ice cream truck, ice cream van			AudioSet
road_vehicle	ice cream truck, ice cream van			VGGSound
road_vehicle	Large engine			Singapura
road_vehicle	large vehicle			TUTSoundEvents2017
road_vehicle	large_vehicle			MAESTROreal
road_vehicle	large-sounding-engine			SONYC
road_vehicle	Medium engine			Singapura
road_vehicle	medium-sounding-engine			SONYC
road_vehicle	Motor vehicle (road)			AudioSet_strong
road_vehicle	Motor vehicle (road)			AudioSet
road_vehicle	Motor_vehicle_(road)			Fsd50k
road_vehicle	motorbike			NoisenseDb
road_vehicle	motorbike			Urbansas
road_vehicle	motorcycle			MAVDtraffic
road_vehicle	Motorcycle			Fsd50k
road_vehicle	Motorcycle			AudioSet_strong
road_vehicle	Motorcycle			AudioSet
road_vehicle	motorcycle			IDMTtraffic
road_vehicle	motorcycle/brakes	motorcycle_brake		MAVDtraffic
road_vehicle	motorcycle/brakes	brakes_squeaking		MAVDtraffic
road_vehicle	motorcycle/engine_accelerating	engine_accelerating		MAVDtraffic
road_vehicle	motorcycle/engine_idling			MAVDtraffic
road_vehicle	motorcycle/wheel_rolling	wheel_rolling		MAVDtraffic
road_vehicle	motorcycle/wheel_rolling	vehicle_passing_by		MAVDtraffic
road_vehicle	driving motorcycle			VGGSound
road_vehicle	offscreen			Urbansas
road_vehicle	Police car (siren)	siren_ringing		AudioSet_strong
road_vehicle	Police car (siren)	siren_ringing		AudioSet
road_vehicle	Police car (siren)	vehicle_siren_ringing		AudioSet_strong
road_vehicle	Police car (siren)	vehicle_siren_ringing		AudioSet
road_vehicle	Police car (siren)	police_car_siren_ringing		AudioSet_strong
road_vehicle	Police car (siren)	police_car_siren_ringing		AudioSet
road_vehicle	police car (siren)	siren_ringing		VGGSound
road_vehicle	police car (siren)	vehicle_siren_ringing		VGGSound
road_vehicle	police car (siren)	police_car_siren_ringing		VGGSound
road_vehicle	Power windows, electric windows			AudioSet_strong
road_vehicle	Power windows, electric windows			AudioSet
road_vehicle	opening or closing car electric windows			VGGSound
road_vehicle	Race car, auto racing			AudioSet_strong
road_vehicle	Race car, auto racing			AudioSet
road_vehicle	race car, auto racing			VGGSound
road_vehicle	Race_car_and_auto_racing			Fsd50k
road_vehicle	reverse-beeper	reverse_beeper		SONYC
road_vehicle	Reverse beeper	reverse_beeper		Singapura
road_vehicle	Reversing beeps	reverse_beeper		AudioSet_strong
road_vehicle	Reversing beeps	reverse_beeper		AudioSet
road_vehicle	reversing beeps	reverse_beeper		VGGSound
road_vehicle	running engine	engine_accelerating		TAUNIGENSSpatialSoundEvents2020
road_vehicle	Skidding	car_skidding		AudioSet
road_vehicle	skidding	car_skidding		VGGSound
road_vehicle	small-sounding-engine			SONYC
road_vehicle	small-sounding-engine			SONYC
road_vehicle	Smallenginge			Singapura
road_vehicle	Tire squeal	tire_squealing		AudioSet
road_vehicle	Tire squeal, skidding	tire_squealing		AudioSet_strong
road_vehicle	Tire squeal, skidding	car_skidding		AudioSet_strong
road_vehicle	Toot	car_horn		AudioSet_strong
road_vehicle	Toot	car_horn		AudioSet
road_vehicle	Toot	vehicle_horn		AudioSet_strong
road_vehicle	Toot	vehicle_horn		AudioSet
road_vehicle	truck			Urbansas
road_vehicle	truck			MAVDtraffic
road_vehicle	Truck			Fsd50k
road_vehicle	Truck			AudioSet_strong
road_vehicle	Truck			AudioSet
road_vehicle	truck			IDMTtraffic
road_vehicle	truck/brakes	truck_brake		MAVDtraffic
